date,indicator,value,source,category,year,month,quarter
2000-04-17,RAINFALL,2.67,NASA,Climate,2000,4,2
2000-04-17,TEMPERATURE,19.89,NASA,Climate,2000,4,2
2000-04-18,DROUGHT_SCORE,0.8228534961155348,Derived,Climate,2000,4,2
2000-04-18,RAINFALL,4.82,NASA,Climate,2000,4,2
2000-04-18,TEMPERATURE,19.55,NASA,Climate,2000,4,2
2000-04-19,DROUGHT_SCORE,0.9770480747574424,Derived,Climate,2000,4,2
2000-04-19,RAINFALL,5.48,NASA,Climate,2000,4,2
2000-04-19,TEMPERATURE,17.43,NASA,Climate,2000,4,2
2000-04-20,DROUGHT_SCORE,0.6032430356255454,Derived,Climate,2000,4,2
2000-04-20,RAINFALL,3.88,NASA,Climate,2000,4,2
2000-04-20,TEMPERATURE,17.58,NASA,Climate,2000,4,2
2000-04-21,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-21,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-21,TEMPERATURE,16.37,NASA,Climate,2000,4,2
2000-04-22,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-22,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-22,TEMPERATURE,16.07,NASA,Climate,2000,4,2
2000-04-23,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-23,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-23,TEMPERATURE,17.72,NASA,Climate,2000,4,2
2000-04-24,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-24,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-24,TEMPERATURE,18.06,NASA,Climate,2000,4,2
2000-04-25,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-25,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-25,TEMPERATURE,18.69,NASA,Climate,2000,4,2
2000-04-26,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-26,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-26,TEMPERATURE,18.99,NASA,Climate,2000,4,2
2000-04-27,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-27,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-27,TEMPERATURE,18.59,NASA,Climate,2000,4,2
2000-04-28,DROUGHT_SCORE,-0.15604845011112,Derived,Climate,2000,4,2
2000-04-28,RAINFALL,0.63,NASA,Climate,2000,4,2
2000-04-28,TEMPERATURE,18.49,NASA,Climate,2000,4,2
2000-04-29,DROUGHT_SCORE,0.0285177879602539,Derived,Climate,2000,4,2
2000-04-29,RAINFALL,1.42,NASA,Climate,2000,4,2
2000-04-29,TEMPERATURE,19.0,NASA,Climate,2000,4,2
2000-04-30,DROUGHT_SCORE,0.0892611068191872,Derived,Climate,2000,4,2
2000-04-30,RAINFALL,1.68,NASA,Climate,2000,4,2
2000-04-30,TEMPERATURE,18.1,NASA,Climate,2000,4,2
2000-05-01,DROUGHT_SCORE,0.5261457463045917,Derived,Climate,2000,5,2
2000-05-01,RAINFALL,3.55,NASA,Climate,2000,5,2
2000-05-01,TEMPERATURE,17.3,NASA,Climate,2000,5,2
2000-05-02,DROUGHT_SCORE,0.1780398036130127,Derived,Climate,2000,5,2
